,strike,maturity,call,put
0,0.8,0.16666666666666666,0.2036706578616409,0.0003339380638893645
1,0.8,0.3333333333333333,0.20935703889276197,0.0026630081076216543
2,0.8,0.5,0.21602414674296105,0.0060519366272989185
3,0.8,0.6666666666666666,0.2233492895815297,0.010037202931424781
4,0.8,0.8333333333333333,0.23070759612983818,0.014132908235416602
5,0.8,0.9999999999999999,0.23835736393134996,0.018488112440383276
6,0.8200000000000001,0.16666666666666666,0.1839959923719862,0.0005761126111367838
7,0.8200000000000001,0.3333333333333333,0.19049548991491763,0.0036354849825550586
8,0.8200000000000001,0.5,0.19788584343154791,0.007665189325763238
9,0.8200000000000001,0.6666666666666666,0.20586718503937992,0.012224527465707303
10,0.8200000000000001,0.8333333333333333,0.21379570546317003,0.016808661195372717
11,0.8200000000000001,0.9999999999999999,0.22198046264224663,0.021617409391846674
12,0.8400000000000001,0.16666666666666666,0.16447604197754906,0.0009730022536018222
13,0.8400000000000001,0.3333333333333333,0.1719502231187566,0.004924244039171572
14,0.8400000000000001,0.5,0.18013445718143076,0.009665359085523757
15,0.8400000000000001,0.6666666666666666,0.1888130553570724,0.014839826859831705
16,0.8400000000000001,0.8333333333333333,0.197336846409643,0.019937445768470483
17,0.8400000000000001,0.9999999999999999,0.2060683529508002,0.025211497940966773
18,0.8600000000000001,0.16666666666666666,0.14519500143250313,0.001608801745458128
19,0.8600000000000001,0.3333333333333333,0.15381251674566557,0.006620563518858
20,0.8600000000000001,0.5,0.1628551981589083,0.01213765607287911
21,0.8600000000000001,0.6666666666666666,0.17226294558869149,0.017959146167883522
22,0.8600000000000001,0.8333333333333333,0.18139660293296178,0.023584845918414355
23,0.8600000000000001,0.9999999999999999,0.19067881497931752,0.029328158210050997
24,0.8800000000000001,0.16666666666666666,0.1262764764201695,0.0026071167700264606
25,0.8800000000000001,0.3333333333333333,0.13619753679778798,0.008839609423758273
26,0.8800000000000001,0.5,0.14614699628944483,0.01518101021329327
27,0.8800000000000001,0.6666666666666666,0.15630437083976073,0.021670000495385196
28,0.8800000000000001,0.8333333333333333,0.1660469725544875,0.027822859166564816
29,0.8800000000000001,0.9999999999999999,0.17587156589327946,0.034027107364579263
30,0.9000000000000001,0.16666666666666666,0.10789394379670356,0.0041414241834631165
31,0.9000000000000001,0.3333333333333333,0.11924836873251682,0.011724467211264472
32,0.9000000000000001,0.5,0.13012777143750032,0.01891334137122627
33,0.9000000000000001,0.6666666666666666,0.14103175855440458,0.02606681728646132
34,0.9000000000000001,0.8333333333333333,0.1513653217163411,0.032728851955043166
35,0.9000000000000001,0.9999999999999999,0.16170793516221318,0.039369674874079746
36,0.9200000000000002,0.16666666666666666,0.09028564124728097,0.006449961670942474
37,0.9200000000000002,0.3333333333333333,0.10313641209675409,0.015446536428279478
38,0.9200000000000002,0.5,0.1149294695234125,0.023466595467016467
39,0.9200000000000002,0.6666666666666666,0.12654386173792453,0.031248349546413534
40,0.9200000000000002,0.8333333333333333,0.1374271077087206,0.03837828157404746
41,0.9200000000000002,0.9999999999999999,0.14824481562391026,0.04541275357634337
42,0.9400000000000002,0.16666666666666666,0.0737584392066063,0.009839599667170112
43,0.9400000000000002,0.3333333333333333,0.08805898601034148,0.02020313619464418
44,0.9400000000000002,0.5,0.10069095349876468,0.028979635452246116
45,0.9400000000000002,0.6666666666666666,0.11294030217055707,0.03731421905547851
46,0.9400000000000002,0.8333333333333333,0.12430569858254895,0.044844516074500795
47,0.9400000000000002,0.9999999999999999,0.1355345192248252,0.052208655417825094
48,0.9600000000000002,0.16666666666666666,0.058678908380094104,0.014676908877559987
49,0.9600000000000002,0.3333333333333333,0.0742259923536869,0.026204168390767096
50,0.9600000000000002,0.5,0.08754873336936508,0.035588971332724116
51,0.9600000000000002,0.6666666666666666,0.10031110854229362,0.04435445450364741
52,0.9600000000000002,0.8333333333333333,0.11206327389742284,0.05218973501599938
53,0.9600000000000002,0.9999999999999999,0.12362301696522253,0.05980335139878929
54,0.9800000000000002,0.16666666666666666,0.04542667848708524,0.021341519021453398
55,0.9800000000000002,0.3333333333333333,0.061829581849857665,0.0336417837397154
56,0.9800000000000002,0.5,0.07561750033583368,0.04340929430907023
57,0.9800000000000002,0.6666666666666666,0.08872814592521056,0.052440920962996726
58,0.9800000000000002,0.8333333333333333,0.10074640301072468,0.060460507755926055
59,0.9800000000000002,0.9999999999999999,0.11254132302820566,0.06822785570233914
60,1.0000000000000002,0.16666666666666666,0.03429334964937572,0.030125030220646113
61,1.0000000000000002,0.3333333333333333,0.05100399707035465,0.04265022481298993
62,1.0000000000000002,0.5,0.0649697464981758,0.052513096481289954
63,1.0000000000000002,0.6666666666666666,0.07823112781161182,0.06161333192583028
64,1.0000000000000002,0.8333333333333333,0.0903816686529371,0.0696834170247635
65,1.0000000000000002,0.9999999999999999,0.1023050705347789,0.07749780144947893
66,1.0200000000000002,0.16666666666666666,0.025372987534434448,0.041121508142607135
67,1.0200000000000002,0.3333333333333333,0.0417837621613698,0.05326401575678262
68,1.0200000000000002,0.5,0.05562144326990163,0.06291634926289362
69,1.0200000000000002,0.6666666666666666,0.06883035129620094,0.07188198448685174
70,1.0200000000000002,0.8333333333333333,0.08097213580381589,0.07986152780226706
71,1.0200000000000002,0.9999999999999999,0.0929127270539505,0.08761165620921711
72,1.0400000000000003,0.16666666666666666,0.018513470145218296,0.05417883079029313
73,1.0400000000000003,0.3333333333333333,0.03410123497776032,0.06541551442595064
74,1.0400000000000003,0.5,0.04753547105380226,0.07458193305667171
