Epoch 1/1000 | SDE training launched
Iteration 13/20 | SDE loss = 2.430e+00, MSE = 2.313e-04, exotic = 1.1692e-01, time = 1.53
Iteration 14/20 | SDE loss = 2.175e+00, MSE = 2.054e-04, exotic = 1.2059e-01, time = 1.53
Iteration 15/20 | SDE loss = 1.928e+00, MSE = 1.804e-04, exotic = 1.2426e-01, time = 1.52
Iteration 16/20 | SDE loss = 1.663e+00, MSE = 1.534e-04, exotic = 1.2843e-01, time = 1.52
Iteration 17/20 | SDE loss = 1.398e+00, MSE = 1.266e-04, exotic = 1.3200e-01, time = 1.52
Iteration 18/20 | SDE loss = 1.207e+00, MSE = 1.071e-04, exotic = 1.3602e-01, time = 1.52
Iteration 19/20 | SDE loss = 9.779e-01, MSE = 8.370e-05, exotic = 1.4089e-01, time = 1.53
Iteration 20/20 | SDE loss = 8.940e-01, MSE = 7.504e-05, exotic = 1.4354e-01, time = 1.52
Epoch 4/1000 | SDE average MSE = 2.842e-04, time = 30.14
Epoch 5/1000 | SDE training launched
Iteration 1/20 | SDE loss = 7.752e-01, MSE = 6.261e-05, exotic = 1.4900e-01, time = 1.51
Iteration 2/20 | SDE loss = 6.870e-01, MSE = 5.336e-05, exotic = 1.5336e-01, time = 1.52
Iteration 3/20 | SDE loss = 6.549e-01, MSE = 4.970e-05, exotic = 1.5787e-01, time = 1.52
Iteration 4/20 | SDE loss = 6.372e-01, MSE = 4.754e-05, exotic = 1.6181e-01, time = 1.52
Iteration 5/20 | SDE loss = 6.670e-01, MSE = 5.036e-05, exotic = 1.6336e-01, time = 1.52
Iteration 6/20 | SDE loss = 6.822e-01, MSE = 5.157e-05, exotic = 1.6653e-01, time = 1.52
Iteration 7/20 | SDE loss = 7.332e-01, MSE = 5.638e-05, exotic = 1.6936e-01, time = 1.53
Iteration 8/20 | SDE loss = 7.545e-01, MSE = 5.830e-05, exotic = 1.7148e-01, time = 1.52
Iteration 9/20 | SDE loss = 7.182e-01, MSE = 5.467e-05, exotic = 1.7153e-01, time = 1.52
Iteration 10/20 | SDE loss = 7.115e-01, MSE = 5.400e-05, exotic = 1.7146e-01, time = 1.52
Iteration 11/20 | SDE loss = 7.669e-01, MSE = 5.962e-05, exotic = 1.7061e-01, time = 1.52
Iteration 12/20 | SDE loss = 6.932e-01, MSE = 5.229e-05, exotic = 1.7024e-01, time = 1.52
Iteration 13/20 | SDE loss = 6.704e-01, MSE = 5.006e-05, exotic = 1.6984e-01, time = 1.52
Iteration 14/20 | SDE loss = 5.922e-01, MSE = 4.238e-05, exotic = 1.6837e-01, time = 1.51
Iteration 15/20 | SDE loss = 5.603e-01, MSE = 3.918e-05, exotic = 1.6842e-01, time = 1.51
Iteration 16/20 | SDE loss = 5.164e-01, MSE = 3.517e-05, exotic = 1.6468e-01, time = 1.53
Iteration 17/20 | SDE loss = 4.486e-01, MSE = 2.863e-05, exotic = 1.6226e-01, time = 1.53
Iteration 18/20 | SDE loss = 4.252e-01, MSE = 2.642e-05, exotic = 1.6095e-01, time = 1.52
Iteration 19/20 | SDE loss = 3.932e-01, MSE = 2.331e-05, exotic = 1.6010e-01, time = 1.53
Iteration 20/20 | SDE loss = 3.680e-01, MSE = 2.103e-05, exotic = 1.5772e-01, time = 1.52
Epoch 5/1000 | Checkpoint 3e-05 reached. Model NeuralLSVModel_lowerbound_3e-05.pt saved.
Epoch 5/1000 | SDE average MSE = 4.583e-05, time = 30.41
Epoch 5/1000 | Update of (lambda_, c) to (1.000e+04, 4.000e+04)
Epoch 6/1000 | SDE training launched
Iteration 1/20 | SDE loss = 3.831e-01, MSE = 2.244e-05, exotic = 1.5863e-01, time = 1.51
Iteration 2/20 | SDE loss = 3.640e-01, MSE = 2.089e-05, exotic = 1.5508e-01, time = 1.52
Iteration 3/20 | SDE loss = 3.525e-01, MSE = 1.971e-05, exotic = 1.5539e-01, time = 1.51
Iteration 4/20 | SDE loss = 3.569e-01, MSE = 2.036e-05, exotic = 1.5324e-01, time = 1.51
Iteration 5/20 | SDE loss = 3.415e-01, MSE = 1.883e-05, exotic = 1.5322e-01, time = 1.52
Iteration 6/20 | SDE loss = 3.444e-01, MSE = 1.913e-05, exotic = 1.5308e-01, time = 1.53
Iteration 7/20 | SDE loss = 3.522e-01, MSE = 1.992e-05, exotic = 1.5294e-01, time = 1.52
Iteration 8/20 | SDE loss = 3.518e-01, MSE = 1.998e-05, exotic = 1.5201e-01, time = 1.52
Iteration 9/20 | SDE loss = 3.355e-01, MSE = 1.842e-05, exotic = 1.5127e-01, time = 1.51
Iteration 10/20 | SDE loss = 3.308e-01, MSE = 1.787e-05, exotic = 1.5204e-01, time = 1.52
Iteration 11/20 | SDE loss = 3.273e-01, MSE = 1.748e-05, exotic = 1.5244e-01, time = 1.52
Iteration 12/20 | SDE loss = 3.514e-01, MSE = 1.995e-05, exotic = 1.5189e-01, time = 1.53
Iteration 13/20 | SDE loss = 3.196e-01, MSE = 1.674e-05, exotic = 1.5220e-01, time = 1.53
Iteration 14/20 | SDE loss = 3.188e-01, MSE = 1.661e-05, exotic = 1.5261e-01, time = 1.53
Iteration 15/20 | SDE loss = 3.109e-01, MSE = 1.575e-05, exotic = 1.5345e-01, time = 1.54
Iteration 16/20 | SDE loss = 3.063e-01, MSE = 1.532e-05, exotic = 1.5314e-01, time = 1.53
Iteration 17/20 | SDE loss = 3.095e-01, MSE = 1.552e-05, exotic = 1.5432e-01, time = 1.56
Iteration 18/20 | SDE loss = 3.076e-01, MSE = 1.528e-05, exotic = 1.5479e-01, time = 1.53
Iteration 19/20 | SDE loss = 3.144e-01, MSE = 1.607e-05, exotic = 1.5373e-01, time = 1.53
Iteration 20/20 | SDE loss = 2.993e-01, MSE = 1.449e-05, exotic = 1.5437e-01, time = 1.52
Epoch 6/1000 | SDE average MSE = 1.804e-05, time = 30.50
Epoch 7/1000 | SDE training launched
Iteration 1/20 | SDE loss = 3.088e-01, MSE = 1.547e-05, exotic = 1.5409e-01, time = 1.51
Iteration 2/20 | SDE loss = 3.034e-01, MSE = 1.482e-05, exotic = 1.5517e-01, time = 1.52
Iteration 3/20 | SDE loss = 3.036e-01, MSE = 1.487e-05, exotic = 1.5493e-01, time = 1.52
Iteration 4/20 | SDE loss = 3.037e-01, MSE = 1.484e-05, exotic = 1.5524e-01, time = 1.52
Iteration 5/20 | SDE loss = 3.026e-01, MSE = 1.480e-05, exotic = 1.5460e-01, time = 1.53
Iteration 6/20 | SDE loss = 2.930e-01, MSE = 1.374e-05, exotic = 1.5559e-01, time = 1.52
Iteration 7/20 | SDE loss = 3.057e-01, MSE = 1.509e-05, exotic = 1.5480e-01, time = 1.53
Iteration 8/20 | SDE loss = 2.960e-01, MSE = 1.414e-05, exotic = 1.5453e-01, time = 1.53
Iteration 9/20 | SDE loss = 2.959e-01, MSE = 1.411e-05, exotic = 1.5479e-01, time = 1.53
Iteration 10/20 | SDE loss = 2.953e-01, MSE = 1.406e-05, exotic = 1.5470e-01, time = 1.53
Iteration 11/20 | SDE loss = 2.884e-01, MSE = 1.349e-05, exotic = 1.5350e-01, time = 1.54
Iteration 12/20 | SDE loss = 2.902e-01, MSE = 1.365e-05, exotic = 1.5370e-01, time = 1.52
Iteration 13/20 | SDE loss = 2.887e-01, MSE = 1.344e-05, exotic = 1.5432e-01, time = 1.52
Iteration 14/20 | SDE loss = 2.826e-01, MSE = 1.297e-05, exotic = 1.5293e-01, time = 1.54
Iteration 15/20 | SDE loss = 2.842e-01, MSE = 1.312e-05, exotic = 1.5293e-01, time = 1.52
Iteration 16/20 | SDE loss = 2.971e-01, MSE = 1.439e-05, exotic = 1.5317e-01, time = 1.53
Iteration 17/20 | SDE loss = 2.921e-01, MSE = 1.380e-05, exotic = 1.5403e-01, time = 1.53
Iteration 18/20 | SDE loss = 2.816e-01, MSE = 1.279e-05, exotic = 1.5376e-01, time = 1.53
Iteration 19/20 | SDE loss = 2.946e-01, MSE = 1.405e-05, exotic = 1.5414e-01, time = 1.52
Iteration 20/20 | SDE loss = 2.785e-01, MSE = 1.241e-05, exotic = 1.5440e-01, time = 1.52
Epoch 7/1000 | SDE average MSE = 1.400e-05, time = 30.51
Epoch 8/1000 | SDE training launched
Iteration 1/20 | SDE loss = 2.789e-01, MSE = 1.248e-05, exotic = 1.5411e-01, time = 1.51
Iteration 2/20 | SDE loss = 2.742e-01, MSE = 1.208e-05, exotic = 1.5330e-01, time = 1.52
Iteration 3/20 | SDE loss = 2.842e-01, MSE = 1.294e-05, exotic = 1.5480e-01, time = 1.52
Iteration 4/20 | SDE loss = 2.836e-01, MSE = 1.284e-05, exotic = 1.5519e-01, time = 1.52
Iteration 5/20 | SDE loss = 2.799e-01, MSE = 1.245e-05, exotic = 1.5543e-01, time = 1.52
Iteration 6/20 | SDE loss = 2.761e-01, MSE = 1.217e-05, exotic = 1.5435e-01, time = 1.51
Iteration 7/20 | SDE loss = 2.808e-01, MSE = 1.256e-05, exotic = 1.5517e-01, time = 1.51
Iteration 8/20 | SDE loss = 2.740e-01, MSE = 1.190e-05, exotic = 1.5505e-01, time = 1.52
Iteration 9/20 | SDE loss = 2.780e-01, MSE = 1.227e-05, exotic = 1.5534e-01, time = 1.54
Iteration 10/20 | SDE loss = 2.715e-01, MSE = 1.156e-05, exotic = 1.5597e-01, time = 1.53
Iteration 11/20 | SDE loss = 2.715e-01, MSE = 1.152e-05, exotic = 1.5629e-01, time = 1.54
Iteration 12/20 | SDE loss = 2.711e-01, MSE = 1.150e-05, exotic = 1.5610e-01, time = 1.53
Iteration 13/20 | SDE loss = 2.790e-01, MSE = 1.224e-05, exotic = 1.5662e-01, time = 1.52
Iteration 14/20 | SDE loss = 2.681e-01, MSE = 1.119e-05, exotic = 1.5626e-01, time = 1.53
Iteration 15/20 | SDE loss = 2.751e-01, MSE = 1.186e-05, exotic = 1.5658e-01, time = 1.53
Iteration 16/20 | SDE loss = 2.664e-01, MSE = 1.099e-05, exotic = 1.5642e-01, time = 1.53
Iteration 17/20 | SDE loss = 2.707e-01, MSE = 1.132e-05, exotic = 1.5749e-01, time = 1.53
Iteration 18/20 | SDE loss = 2.682e-01, MSE = 1.117e-05, exotic = 1.5656e-01, time = 1.53
Iteration 19/20 | SDE loss = 2.704e-01, MSE = 1.125e-05, exotic = 1.5793e-01, time = 1.52
Iteration 20/20 | SDE loss = 2.584e-01, MSE = 1.016e-05, exotic = 1.5679e-01, time = 1.53
Epoch 8/1000 | SDE average MSE = 1.182e-05, time = 30.49
Epoch 8/1000 | Update of (lambda_, c) to (1.000e+04, 8.000e+04)
Epoch 9/1000 | SDE training launched
Iteration 1/20 | SDE loss = 2.661e-01, MSE = 1.088e-05, exotic = 1.5730e-01, time = 1.52
Iteration 2/20 | SDE loss = 2.616e-01, MSE = 1.043e-05, exotic = 1.5736e-01, time = 1.52
Iteration 3/20 | SDE loss = 2.606e-01, MSE = 1.020e-05, exotic = 1.5860e-01, time = 1.53
Iteration 4/20 | SDE loss = 2.662e-01, MSE = 1.080e-05, exotic = 1.5815e-01, time = 1.53
Iteration 5/20 | SDE loss = 2.558e-01, MSE = 9.773e-06, exotic = 1.5803e-01, time = 1.52
Iteration 6/20 | SDE loss = 2.711e-01, MSE = 1.129e-05, exotic = 1.5814e-01, time = 1.52
Iteration 7/20 | SDE loss = 2.598e-01, MSE = 1.021e-05, exotic = 1.5772e-01, time = 1.52
Iteration 8/20 | SDE loss = 2.632e-01, MSE = 1.045e-05, exotic = 1.5864e-01, time = 1.53
Iteration 9/20 | SDE loss = 2.592e-01, MSE = 1.006e-05, exotic = 1.5856e-01, time = 1.53
Iteration 10/20 | SDE loss = 2.639e-01, MSE = 1.056e-05, exotic = 1.5825e-01, time = 1.53
Iteration 11/20 | SDE loss = 2.586e-01, MSE = 1.001e-05, exotic = 1.5842e-01, time = 1.52
Iteration 12/20 | SDE loss = 2.553e-01, MSE = 9.644e-06, exotic = 1.5886e-01, time = 1.53
Iteration 13/20 | SDE loss = 2.562e-01, MSE = 9.662e-06, exotic = 1.5955e-01, time = 1.53
Iteration 14/20 | SDE loss = 2.502e-01, MSE = 9.163e-06, exotic = 1.5855e-01, time = 1.53
Iteration 15/20 | SDE loss = 2.495e-01, MSE = 9.018e-06, exotic = 1.5931e-01, time = 1.53
Iteration 16/20 | SDE loss = 2.559e-01, MSE = 9.657e-06, exotic = 1.5927e-01, time = 1.53
Iteration 17/20 | SDE loss = 2.613e-01, MSE = 1.014e-05, exotic = 1.5986e-01, time = 1.52
Iteration 18/20 | SDE loss = 2.555e-01, MSE = 9.515e-06, exotic = 1.6035e-01, time = 1.53
Iteration 19/20 | SDE loss = 2.538e-01, MSE = 9.242e-06, exotic = 1.6133e-01, time = 1.53
Iteration 20/20 | SDE loss = 2.527e-01, MSE = 9.178e-06, exotic = 1.6094e-01, time = 1.53
Epoch 9/1000 | Checkpoint 1e-05 reached. Model NeuralLSVModel_lowerbound_1e-05.pt saved.
Epoch 9/1000 | SDE average MSE = 9.995e-06, time = 30.54
Epoch 10/1000 | SDE training launched
Iteration 1/20 | SDE loss = 2.496e-01, MSE = 8.811e-06, exotic = 1.6146e-01, time = 1.51
Iteration 2/20 | SDE loss = 2.500e-01, MSE = 8.938e-06, exotic = 1.6063e-01, time = 1.52
Iteration 3/20 | SDE loss = 2.461e-01, MSE = 8.522e-06, exotic = 1.6085e-01, time = 1.52
Iteration 4/20 | SDE loss = 2.462e-01, MSE = 8.476e-06, exotic = 1.6143e-01, time = 1.52
Iteration 5/20 | SDE loss = 2.458e-01, MSE = 8.508e-06, exotic = 1.6073e-01, time = 1.52
Iteration 6/20 | SDE loss = 2.441e-01, MSE = 8.327e-06, exotic = 1.6081e-01, time = 1.52
Iteration 7/20 | SDE loss = 2.474e-01, MSE = 8.603e-06, exotic = 1.6135e-01, time = 1.53
Iteration 8/20 | SDE loss = 2.506e-01, MSE = 8.869e-06, exotic = 1.6191e-01, time = 1.52
Iteration 9/20 | SDE loss = 2.423e-01, MSE = 8.093e-06, exotic = 1.6139e-01, time = 1.53
Iteration 10/20 | SDE loss = 2.481e-01, MSE = 8.601e-06, exotic = 1.6206e-01, time = 1.53
Iteration 11/20 | SDE loss = 2.525e-01, MSE = 9.014e-06, exotic = 1.6230e-01, time = 1.52
Iteration 12/20 | SDE loss = 2.431e-01, MSE = 8.169e-06, exotic = 1.6144e-01, time = 1.52
Iteration 13/20 | SDE loss = 2.392e-01, MSE = 7.710e-06, exotic = 1.6204e-01, time = 1.52
Iteration 14/20 | SDE loss = 2.408e-01, MSE = 7.782e-06, exotic = 1.6295e-01, time = 1.52
Iteration 15/20 | SDE loss = 2.398e-01, MSE = 7.736e-06, exotic = 1.6247e-01, time = 1.52
Iteration 16/20 | SDE loss = 2.434e-01, MSE = 8.145e-06, exotic = 1.6194e-01, time = 1.52
Iteration 17/20 | SDE loss = 2.409e-01, MSE = 7.800e-06, exotic = 1.6285e-01, time = 1.52
Iteration 18/20 | SDE loss = 2.425e-01, MSE = 7.954e-06, exotic = 1.6291e-01, time = 1.54
Iteration 19/20 | SDE loss = 2.388e-01, MSE = 7.574e-06, exotic = 1.6301e-01, time = 1.53
Iteration 20/20 | SDE loss = 2.376e-01, MSE = 7.397e-06, exotic = 1.6367e-01, time = 1.53
Epoch 10/1000 | SDE average MSE = 8.251e-06, time = 30.48
Epoch 10/1000 | Update of (lambda_, c) to (1.000e+04, 1.600e+05)
Epoch 11/1000 | SDE training launched
Iteration 1/20 | SDE loss = 2.393e-01, MSE = 7.527e-06, exotic = 1.6403e-01, time = 1.52
Iteration 2/20 | SDE loss = 2.378e-01, MSE = 7.472e-06, exotic = 1.6311e-01, time = 1.52
Iteration 3/20 | SDE loss = 2.377e-01, MSE = 7.357e-06, exotic = 1.6415e-01, time = 1.51
Iteration 4/20 | SDE loss = 2.436e-01, MSE = 7.974e-06, exotic = 1.6389e-01, time = 1.52
Iteration 5/20 | SDE loss = 2.358e-01, MSE = 7.287e-06, exotic = 1.6294e-01, time = 1.52
Iteration 6/20 | SDE loss = 2.394e-01, MSE = 7.509e-06, exotic = 1.6427e-01, time = 1.52
Iteration 7/20 | SDE loss = 2.401e-01, MSE = 7.695e-06, exotic = 1.6308e-01, time = 1.52
Iteration 8/20 | SDE loss = 2.441e-01, MSE = 7.999e-06, exotic = 1.6408e-01, time = 1.53
Iteration 9/20 | SDE loss = 2.366e-01, MSE = 7.297e-06, exotic = 1.6364e-01, time = 1.52
Iteration 10/20 | SDE loss = 2.384e-01, MSE = 7.472e-06, exotic = 1.6369e-01, time = 1.52
Iteration 11/20 | SDE loss = 2.340e-01, MSE = 7.036e-06, exotic = 1.6365e-01, time = 1.52
Iteration 12/20 | SDE loss = 2.365e-01, MSE = 7.301e-06, exotic = 1.6349e-01, time = 1.52
Iteration 13/20 | SDE loss = 2.342e-01, MSE = 7.063e-06, exotic = 1.6355e-01, time = 1.53
Iteration 14/20 | SDE loss = 2.346e-01, MSE = 7.095e-06, exotic = 1.6364e-01, time = 1.53
Iteration 15/20 | SDE loss = 2.340e-01, MSE = 6.991e-06, exotic = 1.6409e-01, time = 1.52
Iteration 16/20 | SDE loss = 2.370e-01, MSE = 7.338e-06, exotic = 1.6362e-01, time = 1.53
Iteration 17/20 | SDE loss = 2.356e-01, MSE = 7.029e-06, exotic = 1.6532e-01, time = 1.52
Iteration 18/20 | SDE loss = 2.409e-01, MSE = 7.701e-06, exotic = 1.6384e-01, time = 1.52
Iteration 19/20 | SDE loss = 2.327e-01, MSE = 6.954e-06, exotic = 1.6317e-01, time = 1.52
Iteration 20/20 | SDE loss = 2.307e-01, MSE = 6.705e-06, exotic = 1.6366e-01, time = 1.52
Epoch 11/1000 | SDE average MSE = 7.340e-06, time = 30.42
Epochs 1 - 11 | SDE loss: 2.324e-03 -> 7.340e-06 | CV loss: 0.000e+00 -> 3.782e-01 | elapsed time: 286.71
Epoch 1 - 11 | elapsed time: 326.94
Epoch 12/1000 | CV training launched
Iteration 1/20 | CV loss = 8.506e-01, time = 1.07
Iteration 2/20 | CV loss = 8.344e-01, time = 1.07
Iteration 3/20 | CV loss = 7.998e-01, time = 1.08
Iteration 4/20 | CV loss = 7.767e-01, time = 1.07
Iteration 5/20 | CV loss = 7.613e-01, time = 1.07
Iteration 6/20 | CV loss = 7.378e-01, time = 1.07
Iteration 7/20 | CV loss = 6.914e-01, time = 1.08
Iteration 8/20 | CV loss = 6.767e-01, time = 1.07
Iteration 9/20 | CV loss = 6.474e-01, time = 1.07
Iteration 10/20 | CV loss = 6.210e-01, time = 1.07
Iteration 11/20 | CV loss = 6.032e-01, time = 1.07
Iteration 12/20 | CV loss = 5.777e-01, time = 1.07
Iteration 13/20 | CV loss = 5.570e-01, time = 1.07
Iteration 14/20 | CV loss = 5.312e-01, time = 1.07
Iteration 15/20 | CV loss = 5.184e-01, time = 1.12
Iteration 16/20 | CV loss = 4.963e-01, time = 1.13
Iteration 17/20 | CV loss = 4.696e-01, time = 1.07
Iteration 18/20 | CV loss = 4.580e-01, time = 1.07
Iteration 19/20 | CV loss = 4.397e-01, time = 1.07
Iteration 20/20 | CV loss = 4.229e-01, time = 1.07
Epoch 12/1000 | CV average loss = 6.236e-01, time = 21.55
Epoch 13/1000 | CV training launched
Iteration 1/20 | CV loss = 4.087e-01, time = 1.07
Iteration 2/20 | CV loss = 3.945e-01, time = 1.07
Iteration 3/20 | CV loss = 3.786e-01, time = 1.07
Iteration 4/20 | CV loss = 3.649e-01, time = 1.08
Iteration 5/20 | CV loss = 3.542e-01, time = 1.07
Iteration 6/20 | CV loss = 3.444e-01, time = 1.07
Iteration 7/20 | CV loss = 3.305e-01, time = 1.07
Iteration 8/20 | CV loss = 3.208e-01, time = 1.07
Iteration 9/20 | CV loss = 3.109e-01, time = 1.07
Iteration 10/20 | CV loss = 3.049e-01, time = 1.07
Iteration 11/20 | CV loss = 2.903e-01, time = 1.07
Iteration 12/20 | CV loss = 2.832e-01, time = 1.07
Iteration 13/20 | CV loss = 2.753e-01, time = 1.07
Iteration 14/20 | CV loss = 2.667e-01, time = 1.07
Iteration 15/20 | CV loss = 2.576e-01, time = 1.07
Iteration 16/20 | CV loss = 2.526e-01, time = 1.07
Iteration 17/20 | CV loss = 2.464e-01, time = 1.07
Iteration 18/20 | CV loss = 2.424e-01, time = 1.07
Iteration 19/20 | CV loss = 2.323e-01, time = 1.07
Iteration 20/20 | CV loss = 2.285e-01, time = 1.07
Epoch 13/1000 | CV average loss = 3.044e-01, time = 21.41
Epoch 14/1000 | SDE training launched
Iteration 1/20 | SDE loss = 2.339e-01, MSE = 6.936e-06, exotic = 1.6454e-01, time = 1.46
Iteration 2/20 | SDE loss = 2.307e-01, MSE = 6.605e-06, exotic = 1.6466e-01, time = 1.52
Iteration 3/20 | SDE loss = 2.334e-01, MSE = 6.874e-06, exotic = 1.6463e-01, time = 1.52
Iteration 4/20 | SDE loss = 2.324e-01, MSE = 6.791e-06, exotic = 1.6452e-01, time = 1.53
Iteration 5/20 | SDE loss = 2.312e-01, MSE = 6.659e-06, exotic = 1.6456e-01, time = 1.52
Iteration 6/20 | SDE loss = 2.299e-01, MSE = 6.520e-06, exotic = 1.6466e-01, time = 1.52
Iteration 7/20 | SDE loss = 2.315e-01, MSE = 6.662e-06, exotic = 1.6490e-01, time = 1.52
Iteration 8/20 | SDE loss = 2.309e-01, MSE = 6.687e-06, exotic = 1.6397e-01, time = 1.52
