Epoch 1/1000 | SDE training launched
Iteration 13/20 | SDE loss = 8.281e-01, MSE = 9.555e-05, exotic = 1.2753e-01, time = 1.49
Iteration 14/20 | SDE loss = 8.750e-01, MSE = 1.002e-04, exotic = 1.2660e-01, time = 1.49
Iteration 15/20 | SDE loss = 9.310e-01, MSE = 1.057e-04, exotic = 1.2596e-01, time = 1.53
Iteration 16/20 | SDE loss = 8.900e-01, MSE = 1.016e-04, exotic = 1.2618e-01, time = 1.56
Iteration 17/20 | SDE loss = 9.667e-01, MSE = 1.093e-04, exotic = 1.2629e-01, time = 1.52
Iteration 18/20 | SDE loss = 9.177e-01, MSE = 1.044e-04, exotic = 1.2672e-01, time = 1.50
Iteration 19/20 | SDE loss = 9.400e-01, MSE = 1.067e-04, exotic = 1.2686e-01, time = 1.50
Iteration 20/20 | SDE loss = 8.455e-01, MSE = 9.731e-05, exotic = 1.2769e-01, time = 1.49
Epoch 4/1000 | SDE average MSE = 8.666e-05, time = 30.17
Epoch 5/1000 | SDE training launched
Iteration 1/20 | SDE loss = 8.703e-01, MSE = 9.987e-05, exotic = 1.2853e-01, time = 1.52
Iteration 2/20 | SDE loss = 8.146e-01, MSE = 9.445e-05, exotic = 1.3000e-01, time = 1.53
Iteration 3/20 | SDE loss = 7.806e-01, MSE = 9.115e-05, exotic = 1.3095e-01, time = 1.51
Iteration 4/20 | SDE loss = 7.085e-01, MSE = 8.405e-05, exotic = 1.3202e-01, time = 1.52
Iteration 5/20 | SDE loss = 7.162e-01, MSE = 8.497e-05, exotic = 1.3350e-01, time = 1.52
Iteration 6/20 | SDE loss = 6.424e-01, MSE = 7.772e-05, exotic = 1.3480e-01, time = 1.52
Iteration 7/20 | SDE loss = 6.206e-01, MSE = 7.567e-05, exotic = 1.3618e-01, time = 1.52
Iteration 8/20 | SDE loss = 5.837e-01, MSE = 7.213e-05, exotic = 1.3764e-01, time = 1.50
Iteration 9/20 | SDE loss = 5.675e-01, MSE = 7.058e-05, exotic = 1.3829e-01, time = 1.52
Iteration 10/20 | SDE loss = 5.745e-01, MSE = 7.139e-05, exotic = 1.3943e-01, time = 1.52
Iteration 11/20 | SDE loss = 5.612e-01, MSE = 7.021e-05, exotic = 1.4098e-01, time = 1.52
Iteration 12/20 | SDE loss = 5.138e-01, MSE = 6.558e-05, exotic = 1.4200e-01, time = 1.52
Iteration 13/20 | SDE loss = 4.995e-01, MSE = 6.418e-05, exotic = 1.4234e-01, time = 1.49
Iteration 14/20 | SDE loss = 4.892e-01, MSE = 6.339e-05, exotic = 1.4479e-01, time = 1.52
Iteration 15/20 | SDE loss = 4.774e-01, MSE = 6.226e-05, exotic = 1.4525e-01, time = 1.52
Iteration 16/20 | SDE loss = 4.651e-01, MSE = 6.113e-05, exotic = 1.4625e-01, time = 1.54
Iteration 17/20 | SDE loss = 4.531e-01, MSE = 5.994e-05, exotic = 1.4626e-01, time = 1.52
Iteration 18/20 | SDE loss = 4.402e-01, MSE = 5.878e-05, exotic = 1.4759e-01, time = 1.53
Iteration 19/20 | SDE loss = 4.340e-01, MSE = 5.818e-05, exotic = 1.4787e-01, time = 1.52
Iteration 20/20 | SDE loss = 4.281e-01, MSE = 5.769e-05, exotic = 1.4886e-01, time = 1.52
Epoch 5/1000 | SDE average MSE = 7.217e-05, time = 30.39
Epoch 5/1000 | Update of (lambda_, c) to (1.000e+04, 4.000e+04)
Epoch 6/1000 | SDE training launched
Iteration 1/20 | SDE loss = 4.060e-01, MSE = 5.554e-05, exotic = 1.4952e-01, time = 1.52
Iteration 2/20 | SDE loss = 4.214e-01, MSE = 5.710e-05, exotic = 1.4971e-01, time = 1.52
Iteration 3/20 | SDE loss = 3.793e-01, MSE = 5.288e-05, exotic = 1.4966e-01, time = 1.52
Iteration 4/20 | SDE loss = 3.844e-01, MSE = 5.343e-05, exotic = 1.5005e-01, time = 1.52
Iteration 5/20 | SDE loss = 3.659e-01, MSE = 5.158e-05, exotic = 1.4993e-01, time = 1.52
Iteration 6/20 | SDE loss = 3.760e-01, MSE = 5.263e-05, exotic = 1.5043e-01, time = 1.52
Iteration 7/20 | SDE loss = 4.093e-01, MSE = 5.597e-05, exotic = 1.5052e-01, time = 1.55
Iteration 8/20 | SDE loss = 3.688e-01, MSE = 5.188e-05, exotic = 1.5017e-01, time = 1.50
Iteration 9/20 | SDE loss = 3.297e-01, MSE = 4.792e-05, exotic = 1.4964e-01, time = 1.52
Iteration 10/20 | SDE loss = 3.370e-01, MSE = 4.868e-05, exotic = 1.4991e-01, time = 1.52
Iteration 11/20 | SDE loss = 3.081e-01, MSE = 4.568e-05, exotic = 1.4885e-01, time = 1.52
Iteration 12/20 | SDE loss = 2.939e-01, MSE = 4.433e-05, exotic = 1.4949e-01, time = 1.53
Iteration 13/20 | SDE loss = 3.034e-01, MSE = 4.524e-05, exotic = 1.4912e-01, time = 1.54
Iteration 14/20 | SDE loss = 3.127e-01, MSE = 4.614e-05, exotic = 1.4883e-01, time = 1.52
Iteration 15/20 | SDE loss = 2.921e-01, MSE = 4.399e-05, exotic = 1.4795e-01, time = 1.53
Iteration 16/20 | SDE loss = 2.529e-01, MSE = 4.001e-05, exotic = 1.4721e-01, time = 1.53
Iteration 17/20 | SDE loss = 2.461e-01, MSE = 3.929e-05, exotic = 1.4694e-01, time = 1.53
Iteration 18/20 | SDE loss = 2.371e-01, MSE = 3.830e-05, exotic = 1.4600e-01, time = 1.54
Iteration 19/20 | SDE loss = 2.529e-01, MSE = 3.989e-05, exotic = 1.4612e-01, time = 1.53
Iteration 20/20 | SDE loss = 2.450e-01, MSE = 3.898e-05, exotic = 1.4490e-01, time = 1.53
Epoch 6/1000 | SDE average MSE = 4.747e-05, time = 30.51
Epoch 7/1000 | SDE training launched
Iteration 1/20 | SDE loss = 2.276e-01, MSE = 3.722e-05, exotic = 1.4475e-01, time = 1.52
Iteration 2/20 | SDE loss = 2.263e-01, MSE = 3.707e-05, exotic = 1.4449e-01, time = 1.53
Iteration 3/20 | SDE loss = 2.126e-01, MSE = 3.567e-05, exotic = 1.4417e-01, time = 1.53
Iteration 4/20 | SDE loss = 2.171e-01, MSE = 3.610e-05, exotic = 1.4404e-01, time = 1.54
Iteration 5/20 | SDE loss = 2.058e-01, MSE = 3.494e-05, exotic = 1.4368e-01, time = 1.52
Iteration 6/20 | SDE loss = 1.916e-01, MSE = 3.348e-05, exotic = 1.4324e-01, time = 1.53
Iteration 7/20 | SDE loss = 1.967e-01, MSE = 3.394e-05, exotic = 1.4270e-01, time = 1.53
Iteration 8/20 | SDE loss = 1.826e-01, MSE = 3.256e-05, exotic = 1.4306e-01, time = 1.53
Iteration 9/20 | SDE loss = 1.946e-01, MSE = 3.369e-05, exotic = 1.4233e-01, time = 1.53
Iteration 10/20 | SDE loss = 1.893e-01, MSE = 3.310e-05, exotic = 1.4174e-01, time = 1.53
Iteration 11/20 | SDE loss = 1.816e-01, MSE = 3.237e-05, exotic = 1.4220e-01, time = 1.53
Iteration 12/20 | SDE loss = 1.752e-01, MSE = 3.172e-05, exotic = 1.4206e-01, time = 1.53
Iteration 13/20 | SDE loss = 1.725e-01, MSE = 3.142e-05, exotic = 1.4169e-01, time = 1.54
Iteration 14/20 | SDE loss = 1.561e-01, MSE = 2.979e-05, exotic = 1.4187e-01, time = 1.54
Iteration 15/20 | SDE loss = 1.611e-01, MSE = 3.034e-05, exotic = 1.4232e-01, time = 1.53
Iteration 16/20 | SDE loss = 1.649e-01, MSE = 3.069e-05, exotic = 1.4200e-01, time = 1.53
Iteration 17/20 | SDE loss = 1.751e-01, MSE = 3.176e-05, exotic = 1.4254e-01, time = 1.55
Iteration 18/20 | SDE loss = 1.560e-01, MSE = 2.984e-05, exotic = 1.4252e-01, time = 1.52
Iteration 19/20 | SDE loss = 1.388e-01, MSE = 2.825e-05, exotic = 1.4373e-01, time = 1.53
Iteration 20/20 | SDE loss = 1.405e-01, MSE = 2.839e-05, exotic = 1.4343e-01, time = 1.54
Epoch 7/1000 | Checkpoint 3e-05 reached. Model NeuralLSVModel_upperbound_3e-05.pt saved.
Epoch 7/1000 | SDE average MSE = 3.262e-05, time = 30.65
Epoch 8/1000 | SDE training launched
Iteration 1/20 | SDE loss = 1.395e-01, MSE = 2.825e-05, exotic = 1.4306e-01, time = 1.51
Iteration 2/20 | SDE loss = 1.558e-01, MSE = 2.986e-05, exotic = 1.4285e-01, time = 1.52
Iteration 3/20 | SDE loss = 1.298e-01, MSE = 2.723e-05, exotic = 1.4258e-01, time = 1.53
Iteration 4/20 | SDE loss = 1.457e-01, MSE = 2.884e-05, exotic = 1.4276e-01, time = 1.52
Iteration 5/20 | SDE loss = 1.489e-01, MSE = 2.922e-05, exotic = 1.4341e-01, time = 1.53
Iteration 6/20 | SDE loss = 1.375e-01, MSE = 2.804e-05, exotic = 1.4291e-01, time = 1.52
Iteration 7/20 | SDE loss = 1.451e-01, MSE = 2.878e-05, exotic = 1.4270e-01, time = 1.53
Iteration 8/20 | SDE loss = 1.575e-01, MSE = 3.006e-05, exotic = 1.4314e-01, time = 1.53
Iteration 9/20 | SDE loss = 1.391e-01, MSE = 2.821e-05, exotic = 1.4306e-01, time = 1.52
Iteration 10/20 | SDE loss = 1.284e-01, MSE = 2.709e-05, exotic = 1.4256e-01, time = 1.54
Iteration 11/20 | SDE loss = 1.462e-01, MSE = 2.880e-05, exotic = 1.4189e-01, time = 1.52
Iteration 12/20 | SDE loss = 1.392e-01, MSE = 2.815e-05, exotic = 1.4229e-01, time = 1.53
Iteration 13/20 | SDE loss = 1.279e-01, MSE = 2.692e-05, exotic = 1.4128e-01, time = 1.54
Iteration 14/20 | SDE loss = 1.366e-01, MSE = 2.785e-05, exotic = 1.4192e-01, time = 1.53
Iteration 15/20 | SDE loss = 1.251e-01, MSE = 2.664e-05, exotic = 1.4136e-01, time = 1.53
Iteration 16/20 | SDE loss = 1.339e-01, MSE = 2.757e-05, exotic = 1.4185e-01, time = 1.54
Iteration 17/20 | SDE loss = 1.344e-01, MSE = 2.761e-05, exotic = 1.4170e-01, time = 1.52
Iteration 18/20 | SDE loss = 1.380e-01, MSE = 2.796e-05, exotic = 1.4163e-01, time = 1.54
Iteration 19/20 | SDE loss = 1.363e-01, MSE = 2.777e-05, exotic = 1.4146e-01, time = 1.54
Iteration 20/20 | SDE loss = 1.279e-01, MSE = 2.702e-05, exotic = 1.4235e-01, time = 1.53
Epoch 8/1000 | SDE average MSE = 2.809e-05, time = 30.57
Epoch 8/1000 | Update of (lambda_, c) to (1.000e+04, 8.000e+04)
Epoch 9/1000 | SDE training launched
Iteration 1/20 | SDE loss = 1.375e-01, MSE = 2.792e-05, exotic = 1.4176e-01, time = 1.51
Iteration 2/20 | SDE loss = 1.279e-01, MSE = 2.695e-05, exotic = 1.4164e-01, time = 1.52
Iteration 3/20 | SDE loss = 1.303e-01, MSE = 2.713e-05, exotic = 1.4111e-01, time = 1.52
Iteration 4/20 | SDE loss = 1.262e-01, MSE = 2.677e-05, exotic = 1.4158e-01, time = 1.52
Iteration 5/20 | SDE loss = 1.272e-01, MSE = 2.693e-05, exotic = 1.4221e-01, time = 1.54
Iteration 6/20 | SDE loss = 1.365e-01, MSE = 2.787e-05, exotic = 1.4228e-01, time = 1.52
Iteration 7/20 | SDE loss = 1.253e-01, MSE = 2.675e-05, exotic = 1.4227e-01, time = 1.54
Iteration 8/20 | SDE loss = 1.235e-01, MSE = 2.654e-05, exotic = 1.4193e-01, time = 1.51
Iteration 9/20 | SDE loss = 1.246e-01, MSE = 2.667e-05, exotic = 1.4221e-01, time = 1.54
Iteration 10/20 | SDE loss = 1.166e-01, MSE = 2.590e-05, exotic = 1.4243e-01, time = 1.53
