Epoch 1/1000 | SDE training launched
Iteration 13/20 | SDE loss = 1.854e+00, MSE = 1.687e-04, exotic = 1.6740e-01, time = 0.82
Iteration 14/20 | SDE loss = 1.623e+00, MSE = 1.450e-04, exotic = 1.7302e-01, time = 0.82
Iteration 15/20 | SDE loss = 1.518e+00, MSE = 1.341e-04, exotic = 1.7708e-01, time = 0.79
Iteration 16/20 | SDE loss = 1.335e+00, MSE = 1.152e-04, exotic = 1.8272e-01, time = 0.79
Iteration 17/20 | SDE loss = 1.253e+00, MSE = 1.066e-04, exotic = 1.8682e-01, time = 0.82
Iteration 18/20 | SDE loss = 1.180e+00, MSE = 9.892e-05, exotic = 1.9060e-01, time = 0.78
Iteration 19/20 | SDE loss = 1.068e+00, MSE = 8.742e-05, exotic = 1.9372e-01, time = 0.78
Iteration 20/20 | SDE loss = 1.043e+00, MSE = 8.467e-05, exotic = 1.9627e-01, time = 0.78
Epoch 4/1000 | SDE average MSE = 2.292e-04, time = 15.71
Epoch 5/1000 | SDE training launched
Iteration 1/20 | SDE loss = 9.917e-01, MSE = 7.945e-05, exotic = 1.9721e-01, time = 0.77
Iteration 2/20 | SDE loss = 9.565e-01, MSE = 7.587e-05, exotic = 1.9767e-01, time = 0.78
Iteration 3/20 | SDE loss = 9.536e-01, MSE = 7.551e-05, exotic = 1.9848e-01, time = 0.78
Iteration 4/20 | SDE loss = 9.274e-01, MSE = 7.299e-05, exotic = 1.9752e-01, time = 0.79
Iteration 5/20 | SDE loss = 9.048e-01, MSE = 7.081e-05, exotic = 1.9668e-01, time = 0.78
Iteration 6/20 | SDE loss = 8.792e-01, MSE = 6.844e-05, exotic = 1.9466e-01, time = 0.78
Iteration 7/20 | SDE loss = 8.731e-01, MSE = 6.800e-05, exotic = 1.9302e-01, time = 0.78
Iteration 8/20 | SDE loss = 8.483e-01, MSE = 6.583e-05, exotic = 1.8993e-01, time = 0.78
Iteration 9/20 | SDE loss = 8.098e-01, MSE = 6.234e-05, exotic = 1.8641e-01, time = 0.79
Iteration 10/20 | SDE loss = 7.579e-01, MSE = 5.751e-05, exotic = 1.8273e-01, time = 0.78
Iteration 11/20 | SDE loss = 7.173e-01, MSE = 5.389e-05, exotic = 1.7839e-01, time = 0.77
Iteration 12/20 | SDE loss = 6.944e-01, MSE = 5.189e-05, exotic = 1.7554e-01, time = 0.78
Iteration 13/20 | SDE loss = 6.565e-01, MSE = 4.852e-05, exotic = 1.7128e-01, time = 0.78
Iteration 14/20 | SDE loss = 6.438e-01, MSE = 4.759e-05, exotic = 1.6791e-01, time = 0.77
Iteration 15/20 | SDE loss = 6.461e-01, MSE = 4.806e-05, exotic = 1.6548e-01, time = 0.78
Iteration 16/20 | SDE loss = 6.334e-01, MSE = 4.710e-05, exotic = 1.6230e-01, time = 0.77
Iteration 17/20 | SDE loss = 6.366e-01, MSE = 4.749e-05, exotic = 1.6159e-01, time = 0.79
